URL,Header,Tags,Paragraphs
https://td.byui.edu/SBTDClient/79/ITHelpCenter/KB/ArticleDet?ID=13709,Pathify,Feedback mybyui admissions Financial-Aid Portal support Profile Settings information notifications Escalation widget,"Summary    The myBYUI student portal has received a major overhaul and upgrade to our new Pathify system. Internally, we call it Pathify since that's the name of our vendor, but externally it maintains the myBYUI branding and name. The same web URL (mybyui.edu) is used and any saved bookmarks should continue to work for the next 12 months, as we've set up URL redirects. The site is a web tool developed by a third-party company (Pathify). The branding, content, settings, etc., are still maintained by the University. University Relations are the primary content managers of the tool. However, our IT engineer, John Martinez, is the assigned ASE, and is our primary contact for issues requiring escalation.     For more information about the tool, please visit the Pathify documentation in the system catalog.     Issues    Environment    Resolution for TIER    Standard Web Issues    Since Pathify is web-based, we'll need to perform routine web troubleshooting (clear cache, cookies, Incognito, etc.) for basic issues. For any web-based technical issues that cannot be solved by our basic web troubleshooting techniques, please recommend the user contact Pathify's Support using the information below:         Advisor, Employee & SRR tabs    The advisor, employee, and SRR tabs will be moved to the student.byui.edu web domain. Along with other sites will redirect to the Old my.byui.edu    Note: The edit button will redirect to the old my.BYUI.edu          Slow Widget Load Times    Why is the widget taking too much time to load?     Currently, there is a known issue of the widgets being slow.          Submitting Feedback    How do I submit feedback?    This feedback will soon be an iFramed TDX form"
https://td.byui.edu/SBTDClient/79/ITHelpCenter/KB/ArticleDet?ID=12391&SIDs=305,DUO Universal Prompt Help,duo adding-device-on-DUO activating-duo-mobile activate-duo-mobile adding-device-on-duo-from-a-phone duo-2fa adding-device-to-duo duo-universal-prompt,"Issue     Environment     Resolution for TIER 1         **When creating a ticket for Duo issues use the Duo Updates Form    Note: It is part of our procedure to have requestors follow this process on their side first, as opposed to adding the phone ourselves, sending an activation link, etc.     In some circumstance this can't be helped, but make sure that if you use duo admin you first verify the requestor's identity through government ID and DoB. Also ensure the requestor has DUO Mobile installed to their device. DUO pushes are our preferred method for 2FA.     1. The requestor will first need to log into their BYUI account through their phone. Below is a picture of what it will look like. Click ""Need Help?""        2. After they have clicked ""Need help?"",  they will be brought this screen:         3. Depending on the requestor's issue, choose ""I got a new phone"" or ""I need to manage devices.""    4. This will take them to a screen where they need to authenticate. If they can do so with their old phone, have them verify that way. If they can't, have them click the Bypass Code option and create one for them on duo admin. (Refer to Creating a Bypass for Duo)        5. After authenticating, the requestor will be brought to their devices page and it will look similar to this:        6. From here, refer to either the Same Phone Number section or New Phone Number depending on the requestor's issue.         Same Phone Number    If the requestor is adding a new device but has the same phone number do the following:    7. Click ""I have a new phone"" under the phone number that they are still using.    8. They will be taken to the page below. Click ""Get started.""        9. They will be asked to download Duo Mobile. If they do not yet have it, they can install at this point and then click ""Next.""        10. To link the app to their account, they can now click ""Continue"" if they are doing this process on the device they have Duo Mobile installed on. If they are using their computer or another device, they can choose to ""Get an activation link instead."" Once they click ""continute"" or the activation link, they will be taken to Duo Mobile and the requestor will be asked to name the account. ""BYU-Idaho"" is default.        11. From this point they should have access to use DUO Pushes to that device.             New Phone Number    If the requestor has a different phone number do the following:    7. From the manage devices page, click on ""Add a device""        8. Select ""Duo Mobile"" if they are able to get the app on their phone. If they are unable to, select ""Phone number.""        9. Have them add the new phone number. If they are on a Tablet they will skip the phone number portion.        10. They will be asked to download Duo Mobile. If they do not yet have it, they can install at this point and then click ""Next.""        11. If they are doing this process on their phone, they will get the following screen. Click ""Continue."" They will be taken to Duo Mobile and the requestor will be asked to name the account. ""BYU-Idaho"" is default. (If they are using their computer or another device, go to the next step)        12. If they are using a computer, they will get the following screen. They can open the duo app, click ""Add,"" and scan the QR code on their computer screen to log in. Or, they can choose to ""Get an activation link instead."" If they do, they will be asked to put in their email, and the activation link will be sent there. They will be taken to Duo Mobile and the requestor will be asked to name the account. ""BYU-Idaho"" is default.        13. From this point they should have access to use DUO Pushes to that device.             Escalation     If the issue continues you can go into your DUO Admin Portal and add the new device and number for them."
https://td.byui.edu/SBTDClient/79/ITHelpCenter/KB/ArticleDet?ID=6624&SIDs=306,Locked Out of BYUI Account,status changing-password wrong-password lock-out-status incorrect-password lock lock-out what-is-lockout-status locked-out account-locked locked-out-of-byui locked-out-of-account this-account-has-been-locked locked-out-error byui-login-fail failed-to-login locked-out-of-byui-account byui-account-locked account-locked-byui too-many-attempts account-got-locked,"Issue    Environment    Resolution for Tier 1    When someone is locked out of their BYUI account after too many wrong attempts, their account will unlock after 10 minutes. To prevent the student from getting locked out of their account again, check the specifics of the lock out on lockoutstatus.exe and, if needed, do a password reset with them so they will remember their password.     Remember when doing a password reset you MUST either verify their identity through a duo push or see a valid government issued ID (or I-card) by having a zoom call with the requestor.              Using Admin Password Reset to Unlock    We do have the ability to unlock a requestor's account after too many failed attempts. The way to do this is to use the Admin Password Reset tool to verify their identity and then when you hit 'search' instead of seeing the regular screen for forgotten passwords, there is a red banner message that states the account is locked and an option to unlock the account below.        When the account has been successfully unlocked, you may instruct the requestor to attempt to log in again. If they have another failed attempt, invite the requestor to reset their password and continue with an admin password reset (an option shown below).              Escalation    Note: escalation for this issue should only be done after trying to do an admin password reset and contacting Student Records and Registration to see if there are underlying reasons why the account is locked.     If none of those steps work, send the ticket to Identity Management (Tier 3) and explain all that you have tried so far."
https://td.byui.edu/SBTDClient/79/ITHelpCenter/KB/ArticleDet?ID=8394&SIDs=304,Responsible Groups Reference Guide,admissions-ticket changing-ticket parent-child-ticket Ticket-escalation child-ticket add-ticket escalating-tickets-to-tier-2 adobe-request-ticket ticket-escalation-reference-guide admissions SRR FTC BSC Health-Center network HR testing-center classroom-technology diploma Human-Resources international-services Tier Master-responsibility Escalation escalation-department,"Issue    Environment    Resolution    If you are not sure of where to send the ticket, please talk to your lead and they will assist you in sending the ticket to the correct team.    Be aware that some teams DO NOT use TeamDynamix so we should not be sending tickets to those teams.     *When looking at this guide DO NOT escalate the ticket to the manager, escalate it to the team.    Escalation Reference Guide KB Table     Department     Extension/    Emails    Description     Records and Registration    1021     Help students with transcript requests, graduation questions, registration, transferring credits, 999 Numbers, name change on student Portal, updating the Catalog page etc.      BSC     2901     Answer general questions about BYUI       Accounting Services         0931     accountingservices@byui.edu    Admissions     1300     Help prospective students and new students, help with track changes, help with deferments and overrides, merge accounts    Financial Aid     financialaid@byui.edu      Financial Aid Issues    Bookstore Links     3420       Issues with online book links    FTC     7230     The FTC is the basic training and support center for on-campus faculty and TAs. They do not support online instructors or students. The FTC is different from other areas of IT because they do not fix things if they are broken, their focus is training and technical guide for instructors.     Testing Center     1760        The Testing Center answers questions about specific Proctorio Issues.    Health Center     9330       The Health Center will be able to assist anyone that has questions about health plans or COVID Testing.    International Services     1320     Help with International Students      BYUI Proctorio Support Team     1767     The Testing Center has a support team to help students with Proctorio troubleshooting.        Human Resources     1700       The Human Resources assists with Workday Issues, Taxes/Tax documents, HireVue, helps students/employees update their information on the online directory.     University Relations        B         Benjamin     Yates    yatesb@byui.edu    Any website questions or request if they are related to a www.byui.edu, email Benjamin Yates through the ticket                Manager    Team (Uses TD)    Description    Randy Beard    Application Support     (Tier 3)    TeamDynamix, Equella, EMS    Trevor Squires        Azure (Tier 3)    Azure support issues    Identity Management     (Tier 3)    AD, Username, Active Directory, Roles, CAS, DUO, SSO, Shibboleth, WSO2, authentication,    Account-related issues such as you do not have permission to view this page.    Database (Tier 3)    Database    Kendon Jensen    Classroom Technology (Tier 3)    x7070    Takes care of all projector calls, permanent cameras in the rooms (these will be permanently mounted to the ceiling and used for Zoom), sound problems, document cameras (these could be mounted in the ceiling just above the podiums), air boards (these are whiteboard capture devices), touch panels (to control the classroom system), and microphones which are hanging from or installed in the ceilings, hardware, TVs outside of classrooms (or any of the above that are outside of a classroom). We will take calls on the classroom computers and monitors if it is an interrupt call, otherwise, it is for Tier 2    Dan Peterson    End-User Support     (Tier 3)    Directly above Tier 2    Trevor Squires    GIS (Tier 3)    Mapping on Campus    Randy Beard    I-Learn Admin (Tier 3)    Support Campus I-Learn issues, I-learn IT. Issues accessing Canvas    Jason Zimmer    Infrastructure (Tier 3)    Network    Network (Tier 3)    Provide Support for Campus Network related issues, WIFI accessibility issues        Network Support 
			Phone Support 
			Call Center Support 
			Web Sense 
			IT VPN 
			VPN Request    Phones (Tier 3)    Setting up phone extension, creating a voicemail, Cisco related issues, changing names on extensions, phone connections issue, fax issues.    Adam Baker    IT Cyber Security     (Tier 3)    Responsible for investigating potential security incidents. This includes but is not limited to, handling abusive emails (phishing, scamming, or containing malware), possible account compromise, system compromise, data exfiltration, or anything else that might be an information security incident.    Dan Peterson    Lab/Imaging Support     (Tier 3)    Student support team responsible for image creation and advanced technical support for lab/classroom computers.    Dan Peterson    License Servers (Tier 3)                This group is for when the software is saying that its license isn't working. Or that it has expired. They are managed by a wide variety of people on campus.    VDI/ Antivirus (Tier 3)    VDI, VMware, Virtual Machines, Virtual    Randy Beard    Messaging/ Email/ Zoom/ Google/ G Suite (Tier 3)        Email, Zoom, Office 365, O365, Google, G Suite, Messaging    Provide Support for Zoom Account Issues, Outlook Calendar, Unable to send or receive emails through BYUI Email    SharePoint/OneDrive (Tier 3)    SharePoint, OneDrive, Teams, OneNote, Power Apps, Power Automate, Project Online, Fusion, Morpho    Randy Beard    Platform Services (Tier 3)        ASE group. A bit like a product manager, but works mostly with the technical side, fixing and making sure the software is working.    Workday (Tier 3)    Workday    Doug Conway    Software Engineering     (Tier 3)    Develops web applications that are hosted on https://web.byui.edu. Any issue with an application hosted here should be sent to this team.    Randy Beard    Student Information System – SIS – (Tier 3)    SIS, Student Information System. Jenzabar, CX    Randy Beard    Webservices (Tier 3)     www and web byui domains    Nepal Plummer    IT Product Management (Tier 2)    A bit like an ASE. We have a lot of software and they work with each one to make sure the versions are up to date, the licenses are valid, relationships are kept up. They manage the software products for the campus.    Tim Andersen    IT Tier 2 Support    Provides support for campus-issued computers (labs, classrooms, and offices) and student-owned laptops. They deal with most of the hands-on support issues for computers, helping to resolve software issues or identify and escalate hardware issues (for the campus- issued computers)    Doug Conway    Ensign College Support (Tier 2)    This group is for Ensign College Account and online support issues    Blake Grover    I-Drive    Printing Support (Tier 3)    Jammed printer, out of paper/ink, moving printers to a new location, printer refunds, purchasing printers, other printer related issues.        Summary"
https://td.byui.edu/SBTDClient/79/ITHelpCenter/KB/ArticleDet?ID=8420,Accessing Accounts of Deceased,deceased-students family-of-deceased requesting-account-information-for-deceased-family-members accessing-accounts-of-deceased family-member-passed-away access-family-member-account parent-accessing-child-account family-accessing-account deceased account-access dead died not-living death-in-family,"Issue    Environment    Resolution    Students    When family members of a deceased student or alumni contact us requesting access to the deceased person's account, we need to direct the family member to the Dean of Students office.     Faculty/Employee    Note:  It is not advised to give the family/spouse access to the account of the deceased person. Sometimes there can be sensitive information they shouldn't be privy to.    If a family member is reaching out about a deceased faculty or employee, find out what they specifically need access to.     If they need access to files from the deceased computer send the ticket to Tier 2 for them to retrieve the files.    If they need access to employee benefits or retirement information (DMBA) have them contact Human Resources at 208-496-1700.    If they have a cell phone plan through the college send them to the Cellular Department in the University Store at 208-496-3469.    If they have a different question, talk with Mary Jo or Ron. If needed, assign the ticket to either of them for further investigation."
https://td.byui.edu/SBTDClient/79/ITHelpCenter/KB/ArticleDet?ID=10120,Alumni Finance Summary Report,alumni finance alumni-loan-payment alumni-w2 alumni-acccount-access alumni-viewing-finances past-financial-aid,"Issue     Environment     Resolution for TIER 1        If the requester is wanting a summary of their student loans, Pell grants, or scholarships here are the steps:    1. Go to my.byui.edu, and at the top click the ""Finances"" tab.    2. Scroll down and click ""View Previous Financial Aid Awards"".        3. You can then select the ""Award Year"" and then click ""View Financial Aid Awards"".            Escalation    N/A"
https://td.byui.edu/SBTDClient/79/ITHelpCenter/KB/ArticleDet?ID=9797,Box to Select Course Not Appearing,Registration Holds Off-track override courses-on-off-track checkbox getting-an-override cannot-register no-box registration-dates no-check-box add-drop-class add-a-course drop-class,"Issue     Environment    Cause    Resolution for Tier 1    This is what the requesting student sees when they try to register for classes.        Holds    Sometimes a student cannot register for classes because they have a hold on their account. They need to resolve these holds before they can see the check box next to the desired courses and register for them.     Registering Too Early or Too Late    Each semester, registration starts at different dates depending on how many credits a student has. If a student tries to register before it is open for them, or after the first week of classes, they will not be able to see the check box next to the course name.     Off-track Students    Students that are trying to register sometimes forget their track assignment and attempt to sign up for classes for their off track. This will also cause the checkbox to disappear until they request to override their off track and permission is given.     International Students    Sometimes, the box shows only for one of the courses or not at all when it comes to international students. This is because they are only allowed to have 3 credits or one online class out of the 12 credits to be considered a full-time student. If the class they are trying to add is an online or remote class, and they already have their online classes registered, it will not let them add another one.    Escalation    If nothing seems to work or none of these reasons apply to them, contact Student Records and Registration (Ex. 1021)."
https://td.byui.edu/SBTDClient/79/ITHelpCenter/KB/ArticleDet?ID=6263,BYUI Account Access,student-account cant-access-account access-account byui-account-access Holds password-reset find-student-holds Role-Manager Student-Records-and-Registration-escalation records-and-registration account-holds account-disabled canvas invalid-credentials account-access-error account-access account-hold active-holds health-center-holds unable-to-create-a-new-password unable-to-access-account cannot-access-account account-access-denied issue-accessing-account admissions Merged-Account,"Issue    Environment    Resolution for Tier 1    Issue    Troubleshooting    If a requestor cannot access their BYU-Idaho account, here are the steps to take to help them.     Check that they have an account by going to role manager https://roles.byui.edu/.    Once in role manager, click on users in the left-hand column and type in the requestor's first and last name. Confirm their account by hovering your mouse over their name and make sure the email they give you and the one that pops up are the same.     If you are able to find them on role manager, check active holds.    To check holds go to the quick link on the TD dashboard and type in their I-Number.     If they do have an active hold, let them know they have a hold *but DO NOT let them know what the hold is.* Let them know what department the hold is under and offer to transfer them to that department.     Explain that the hold will have information to where to call, and what to do to resolve it. (According to https://www.byui.edu/registration/resolve-holds)    If they have an active hold from the Health Center, they won't be able to access their account until they take care of the hold. If they have a hold from any other place, they will have access to their account.    For the student Health center hold,  watch out for this code: SHC2 - Student Health AD Hold this is whenever a student’s Active Directory (AD) account is disabled by the Health Center. Once the Health Center enables the AD account the hold is automatically taken off by the Health Center.  For escalation process in this case, refer to the BYU-I Account is Disabled KB.     If they don’t have any active holds, try resetting a new password with them. Refer to the KB article on Password Resets for more information on how to do this.     Escalation    If you or the requestor are not able to create a new password, contact Student Records and Registration (ext 1021) and ask them to double-check the information they have against what you have to see if they have any additional information.    If the requestor still cannot access their account and you have tried all the options above, send the ticket to “Identity Management (Tier 3)”. Get the requestor's personal email (they will not be able to access their school one) as well as a good phone number to contact them. Put it in the description for Identity Management Tier 3 (Group) along with a detailed description of what you have tried."
https://td.byui.edu/SBTDClient/79/ITHelpCenter/KB/ArticleDet?ID=10669,BYU-I Account is Disabled,Holds TB-test public-health log-in-issues account-disabled health-center-public-health-tb-test-and-holds tb-test-and-holds public-health-contact-information account-holds health-center-holds TB-hold,"Issue     Environment    Cause     The Student Health Center will send warning emails if a student has active health holds present on the account. After a while of no response, the student's account is disabled.     Resolution     If a student calls in and indicates that their account is ""disabled"", please verify that it says ""disabled"" and not something else.    If it is disabled check the student holds, for the student Health center hold, watch out for this code: SHC2 - Student Health AD Hold; this is whenever a student’s Active Directory (AD) account is disabled by the Health Center. Once the Health Center enables the AD account, the hold is automatically taken off by the Health Center.     Have the student contact the Public Health Department of the Student Health Center. Explain that they have a disabled account and need to talk to someone in the Public Health Department.     Public Health Department at 208-496-9355    Note: *9355 helps with this hold specifically and does NOT have a call queue. If for whatever reason they do not answer, give the student the Health Center's main phone number (208-496-9330) as a backup.     Account Disabled but no Health Hold    Occasionally, a user's account will become disabled for some other reason than having a Health Hold on their account. One example is that they might have a suspension long-term hold on their account.     In these situations, after calling the health center and verifying the Health Hold is not an issue, create a ticket and escalate it to Identity Management (Tier 3).    Escalation    If you find that the student is getting the run around, please give them either Kim Lovell's email lovellki@byui.edu or ext. 9351 or Shaun Orr's contact information orrs@byui.edu or ext. 9340 and they will move quickly to resolve the matter.    After helping the student, mark the Ticket as ""Resolved."""
https://td.byui.edu/SBTDClient/79/ITHelpCenter/KB/ArticleDet?ID=10243,BYU-I Guest Accounts,request lds-philanthropies Identity-access-management Philanthropies access-request philanthropies-donations guest-account Guest Visitor BYUI-visitor Visitor-account requesting-a-visitor-account byui-visitor-account requesting-a-guest-account password-reset expired invalid-credentials guru-accounts guru byui-guest-accounts,"Issue    Environment    What is a Guest Account    A Guest Account is a temporary account (1 year or less) created for individuals to use on the BYU-I campus for various reasons.    Service missionaries, Church employees (philanthropies) and/or Education Week Presenters need BYU-Idaho account for various reasons.     NOTE: This process changed from ""Visitor"" to ""Guest"".          Guest Account Request    To make a Guest Account the customer will need to fill out a form to process this. It will be sent off to Identity Management (Tier 3).     https://td.byui.edu/TDClient/79/ITServicePortal/Requests/ServiceDet?ID=1046    Make sure they can open the link, and tell them that Identity Management will work with them from there.    Guru Accounts    A Guru Account is a type of administrative account used through the Guest Account process.         Password Reset Process    Guest Accounts    Guest Accounts do not have Social Security Numbers so we are unable to reset guest account passwords as regular student/employee accounts. Guest account can also not be reset by using the forgot password tool so if they are having password issues a ticket will need to be escalated to Identity Management (Tier 3).    NOTE: When the guest account expires, it will NOT notify the user, it will say ""Invalid Credentials""    In order to re-establish access to an expired guest account: create a TD ticket and escalate to Identity Management (Tier 3).         Guru Accounts    Guru Accounts do not follow the same password reset process, create a ticket and escalate to Mike Murri.         Escalation    Users Requesting a Guest Account, have them fill out this form, Identity Management (Tier 3) will take it from there.     Users who's guest account is expired, create a ticket and escalate to Identity Management (Tier 3).     Guru accounts needing a access back to their account, create a ticket and escalate to Mike Murri."
