URL,Header,Tags,Paragraphs
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=14900,Supported Duo Authentication Methods,2fa duo Duo-bypass-code duo-mobile-app duo-phone-call duo-push byui-duo-security-key duo-passcodes duo-hardware-tokens duo-biometrics duo-touch-id duo-face-id duo-windows-hello duo-security-key byui-duo how-to-use-duo-byui,"Summary    This guide provides an overview of all the two-factor authentication (2FA) methods currently supported by BYU-Idaho through Duo. These methods offer enhanced security for accessing your accounts and services. By utilizing these diverse 2FA methods, you can ensure your accounts and data remain secure while enjoying the flexibility of choosing the authentication method that best suits your needs.    Duo Push    Description: Duo Push sends a notification to the Duo Mobile app on your smartphone or tablet. Approve the login request with a single tap.    How to Use:    App Generated Passcodes    Description: Generate passcodes with the Duo Mobile app, even offline.    How to Use:    SMS Passcodes    Description: Log in using a passcode received from Duo in a text message. When you land on the text message page, it will show that a text message was just sent to you with a passcode. When you receive the message, enter that passcode into the space provided and click or tap Verify to log in to the application. When authenticating from a mobile device in the United States and Canada your browser may automatically enter the passcode for you. If you did not receive the text message from Duo, use the Send a new passcode link to try sending it again. Passcodes received in a text message expire when used.    How to Use:    Phone Call Approval    Description: Authenticate via phone callback. Answer the phone call from Duo and follow the voice instructions to log in to the application.    How to Use:    Hardware Token Passcodes    Description: This is a legacy authentication method that was used previously. These were offered by BYU-Idaho as an alternative 2FA method when more practical options weren't available🠗🠗Hardware token are small keyfob0like devices that allow users to enter the passcode generated from the device.🠗🠗BYU-Idaho only supports this supports this authentication method for legacy users.    How to Use:    Biometrics (Touch ID, Face ID, Windows Hello)    Description: BYU-Idaho supports biometric authentication methods that are integrated into your device for secure access to applications and services. These methods include Touch ID and Face ID for iOS and macOS users, Android Biometrics for Android users, and Windows Hello on Windows devices, and Android biometrics.    How to Use:    Security Keys    Description: Security keys are hardware devices used for authentication that enhance security by requiring physical possession of the key to access systems and applications. These keys provide a robust second factor method, ensuring that even if passwords are compromised, unauthorized access is prevented without the physical key.    How to Use:    Bypass Code    Description: If you're ever locked out of Duo and your other authentication methods have failed, the IT Service Desk can assist you by providing a temporary Bypass Code.""🠗🠗These bypass codes are temporary and expire within a brief period after they're generated by the IT Service Desk.    How to Use:    Additional Resources    For detailed instructions on setting up and using each of these 2FA methods, please refer to the Duo Universal Prompt Guide."
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=14000,New BYUI Mac Issued Computer FAQ,computer-replacement new-computer requesting-a-new-computer need-new-computer Old-Computers transfer-files replacing-old-computers new-mac new-macbook new-byui-mac,"Getting a New BYUI Issued Computer         What do I need to do?    Once you have received the email regarding your computer replacement, please follow the steps below.    Before appointment:      Schedule appointment here    Plan on one hour for the appointment.     Back up all of your files via campus-supported OneDrive or by your own means     Your Web Browser’s Bookmarks will only transfer if you sign in to the browser and sync them before receiving your new computer.      Ensure you have your device and all chargers or docking stations that came with it. Bring all equipment to the appointment.         After replacement      Install additional software as needed and ensure that the new computer has your data that was backed up previously by you.     If needed, log in to your web browser such as Chrome and Firefox to access your previously backed up bookmarks.     What does Tech Support do?    At the date/time you've selected, we will meet you in your office specified in the appointment and get you logged in and set up on your new campus computer.     We will log you into the computer and go over the following items with you according to your needs:     Do I have to be there when the technician comes to replace my computer?    Do I need to back up files?    Yes, you are responsible for backing up any files from your old laptop to your new one. If you use OneDrive, we can help sign you into OneDrive on the new machine during your appointment.     Backing up your files to something like OneDrive stores the files in a cloud location where they are available even if you do not have access to your physical computer. Highly recommended as a way to ensure you don’t lose files/data if something unexpected happens to your physical computer. Take a look at Accessing OneDrive for a walk through on backing up your files.     What if I forgot some files?    We hold onto computers for 2 weeks after they are replaced in case there are files missing.     Contact us if you find you are missing files/programs/etc     What computer am I receiving?    You will be receiving a similar computer to the type you have currently. For example, if you currently have a MacBook Pro, you will be receiving an updated MacBook Pro, unless you have already made different arrangements with the I.T. department.     If you’re not sure what new computer we have for you, please call the Tech Support Projects team at x9036.     What happens to my old computer?    We hold onto it for 2 weeks to ensure there are no files that you end up needing off of it     We then wipe the machine and either reissue as a trickle computer or send it to Surplus Sales      If interested in purchasing your old computer, make a note of the asset tag and keep in contact with Surplus Sales for when they receive that device so you can purchase it.     With hundreds of different computers being replaced each year, we are unable assist in tracking where your computer goes.     Can I keep my old computer after my new one is delivered to make sure everything is working?    Your data should be backed up before the appointment with IT, so this should not be needed.     If you feel this is still needed, approval will need to be given from the IT manager over the Tech Support Projects team. To request this permission, contact the projects team at technologysupportprojects@byui.edu or call x9036.     What if I am retiring at the end of this year?    Who do I call for help/assistance with my new computer?"
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=13548,New BYUI Windows Issued Computer FAQ,computer-replacement new-computer requesting-a-new-computer need-new-computer Old-Computers migration transfer-files replacing-old-computers new-windows-computer,"Getting a New BYUI Issued Computer         What do I need to do?    Once you have received the email regarding your computer replacement, please follow steps below.    Before appointment:      Schedule appointment here        Leave computer in your office on campus, powered on and plugged into power and network     Have your old computer, charger and docking station in your office in time for your appointment.     After replacement      Log into new computer (connected to docking station/BYUI network)     Log into programs      Outlook    Teams    After opening Teams, under ""Sign In,"" enter your BYUI email, and then sign in using your BYUI credentials    Office    Adobe    OneDrive    Browser    You will need to log in to a browser in order to get your bookmarks and settings    Check any additional programs or files that you use frequently.     What does Tech Support do?    At the date/time you've selected, we will remotely connect to your old computer and begin the file transfer process.    Tech Support will verify the migration has completed and come to exchange the old computer for new computer at a time arranged with the employee prior to/during the file transfer.     The employee may also indicate they are comfortable with the replacement taking place without them present, in which case Tech Support will deliver and setup the new computer, and recover the old computer.    Do I have to be there when the technician comes to replace my computer?    Am I able to work on my computer during the time that I.T. will be migrating my files?    It's encouraged that the computer not be used during the file migration.    However, if needed you can use the computer. Just ensure that any work or files you work on are not saved locally on the computer, but are saved to a different storage location like OneDrive.    What files are transferred?    What’s included    Documents, pictures, most programs, printers, drivers, etc     What’s not included    Adobe programs     Do I need to back up files?    Not required, but always recommended     Transfer vs backup (differences)      Transferring your files is essentially just copying your files from your old computer to your new computer. Both are stored locally on the computer.     Backing up your files to something like OneDrive stores the files in a cloud location where they are available even if you do not have access to your physical computer. Highly recommended as a way to ensure you don’t lose files/data if something unexpected happens to your physical computer. Take a look at Transferring Drive Files to OneDrive for a walk through on backing up your files.    What if I forgot some files?    We hold onto computers for 2 weeks after they are replaced in case there are files missing.     Contact us if you find you are missing files/programs/etc     What computer am I receiving?    You will be receiving a similar computer to the type you have currently. For example, if you currently have a Windows laptop, you will be receiving an updated Windows laptop, unless you have already made different arrangements with the I.T. department.     If you’re not sure what new computer we have for you, please call the Tech Support Projects team at x9036.     What happens to my old computer?    We hold onto it for 2 weeks to ensure there are no files that you end up needing off of it     We then wipe the machine and either reissue as a trickle computer or send it to Surplus Sales      If interested in purchasing your old computer, make a note of the asset tag and keep in contact with Surplus Sales for when they receive that device so you can purchase it.     With hundreds of different computers being replaced each year, we are unable assist in tracking where your computer goes.     Can I keep my old computer after my new one is delivered to make sure everything is working?    The profile migration tool eliminates the majority of the situations where this would be needed.     If you feel this is still needed, approval will need to be given from the IT manager over the Tech Support Projects team. To request this permission, contact the projects team at technologysupportprojects@byui.edu or call x9036.     What if I am retiring at the end of this year?    Who do I call for help/assistance with my new computer?"
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=13580,Removing BYUI Apple Devices from your Apple Account,apple mac retiree leaving-byui leaving-school return-computer leaving-faculty leaving-employee retiring-employee return-device return-technology computer-needs-wiped return-byui-computer remove-apple-device,"When employees leave BYUI, their devices need to be returned to IT or wiped for their replacements. If it is a windows device, the employee just need to leave the computer, power supply, and docking station with their department secretary who will take care of the device from there. If it is an apple device however, the device needs to be removed from the employee's apple account before it is left with their secretary. Below are the steps on how to remove the device. This applies for all Apple devices (Mac computers, tablets etc).    Removing the Apple Device     1. Go to System Settings on the device you want to remove from your Apple account.    2. Click ""Apple ID"" (name at the top).    3. Scroll to the bottom and click ""Sign Out.""        4. If you would like to keep a copy of your data, click ""Keep a Copy"" in the window that pops up. If you don't want to keep a copy, uncheck all the boxes and click ""Continue.""        5. Once you are signed out of the device, simply leave it with your department secretary. They will take care of the process of returning the device to IT (or getting it wiped for the next employee) from there.         If for any reason the above process doesn't work, there is another way to remove the device, as outlined below. If this is being done from a phone/tablet instead of a computer, open the Find My app and skip to step 5.    1. Go to iCloud.com and click Sign In        2. Sign in using your personal Apple ID        3. You will be taken to your account page. In the section of apps, click and open ""Find My""        4. It will ask you for your Apple ID password again        5. At the top, click ""All Devices"" then find the BYUI device that you are returning        6. Click ""Remove from Account""        7. Once the device is removed, simply leave it with your department secretary. They will take care of the process of returning the device to IT (or getting it wiped for the next employee) from there."
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=11753,BYUI Alumni and Retiree Email Information,alumni alumni-email email-access alumni-and-retiree-account-access retiree-email-access Outlook-Email Alumni-BYUI-email-Access retiree-emails request-email-access Retiree-BYUI-email-access old-username alumni-access-email,"Students and staff will still have access to their university email (@byui.edu) even after graduating or retiring. Most people will be able to access their email on their campus alumni portal. Any alumni since 2009 have automatically been granted continued access to email. Any alumni prior to 2009 can have their account re-created (fresh and new, with no prior messages) upon request to the Email team through a ticket assigned to them.    Questions that the email team will need to ask before resurrecting their account:"
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=11727,Outlook Errors,emails-wont-send cannot-send-email email-errors outlook-errors email-address-unrecognized no-connection-email outlook-email-error server-not-found errors-account,"This article contains information about common error messages in Microsoft Outlook, as well as tips to resolve the issue. Some errors and error messages you may encounter while using Microsoft Outlook include the following messages:    “Cannot send this item” or “The destination email address is unrecognized”    This error message typically deals with how an outgoing email message has been formatted. Check the To: field of the message first to ensure that the recipients address is correct.    This error can also occur when there is a problem within HTML-based email messages. Try changing the outbound message’s format to plain text or rich text should resolve this. Visit Microsoft Support to find out how to change the message format.         “No connection could be made because the target machine actively refused it”, “The server could not be found”, or “Error 0x800CCC0F”    First make sure that your computer still has an active network connection. To do this, click your computer’s wireless icon to see which Wi-Fi network – if any – it is connected to.    If you have verified that you are connected to a network and are still experiencing issues with Outlook, make sure that there are no permissions issues interrupting your ability to send emails.    Occasionally, a blocked firewall port or over-aggressive antivirus software can cause this error. Try unblocking the firewall port or scaling back your antivirus’s protections (at least temporarily).     If you have fixed any problems with your connectivity, firewall, or antivirus and are still having problems, delete and recreate your Outlook profile.         Emails won't send    If you are having difficulty sending and/or receiving emails from your BYU-Idaho account, it is probably because a pop-up blocker on your computer is preventing this from happening. How you can disable the pop-up blocker varies depending on your Internet browser.    Google Chrome    1. Open Google Chrome.    2. Go to the Chrome menu and select Settings.        3. Select Show Advanced Settings at the bottom of the page.    4. Under Privacy, select Site Settings.        5. Under Pop-ups, select the Blocked (recommended) toggle button so that it switches to Allowed.        Safari    1. Open Safari.    2. Select Safari from the menu at the top of the screen.    3. Select Preferences from the Safari menu.        4. The Preferences pane will open. Select Websites.        5. Select Pop-up Windows from the side menu.        6. From the list next to When visiting other websites:, select Allow.        Internet Explorer"
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=11726,Why Does Outlook Show 2 Different Emails?,outlook-login outlook-email-address byui-username username-email login-username BYUI-username-email different-email what-email-to-use email-to-login email Username two-emails why-two-emails 2-byui-emails what-is-the-difference-between-my-two-byui-emails two-school-emails school-issued-email,"The image below is an example of a user's account information with two different emails appearing in their Outlook profile.        This does not mean there are two separate emails to keep track of.    As shown in the image above, a user's email is sometimes displayed as a BYU-Idaho email (smithj347@byui.edu) and a username@byui.edu email (johnsmith@byui.edu). Both email addresses are attached to the same profile. An email sent to smithj347@byui.edu will go to the same inbox as one sent to johnsmith@byui.edu.         Which email should I use to log into a Microsoft application?    When users input their email address, Microsoft is only looking for the BYU-Idaho domain name of ""@byui.edu"". This lets Microsoft know that a BYU-Idaho user is wanting to log into their school account.        Once the user inputs the email, Microsoft will then open the BYU-Idaho login page, as shown below. Users will then input their username and password to log in. This will take the user to their individual profile.        Ultimately, it does not matter which email to use. Microsoft is mainly looking for the BYU-Idaho domain name. But if you are still not sure, here are troubleshooting options that may help:    1. Read the prompt, they should tell you which one to use. Look for phrases like ""email address"" or ""username"".    2. Always try your school email first if instructions are not clear. Your school email is the abc18001@byui.edu email, not username@byui.edu.    3. Use your username@byui.edu if your school email does not work.    4. Microsoft should take you to the BYU-Idaho login page if you are not already logged into your BYU-Idaho account.    5. Contact the I.T. Service Desk at (208) 496-1411 or through the Live Chat function if you continue to have problems.         What is the difference between my BYU-Idaho username and my Outlook email?    A username and an email have very similar functions. Both take you to your personal profile.    This can be similar to a person having both a name and a nickname. Benjamin could easily also be called Ben or Bennie. Each of those names are used to refer to the same person.    This is similar to a user's account at BYU-Idaho. Microsoft Outlook simply has two different emails attached to the same profile. Again, having two emails is nothing to be concerned about."
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=11753&SIDs=250,BYUI Alumni and Retiree Email Information,alumni alumni-email email-access alumni-and-retiree-account-access retiree-email-access Outlook-Email Alumni-BYUI-email-Access retiree-emails request-email-access Retiree-BYUI-email-access old-username alumni-access-email,"Students and staff will still have access to their university email (@byui.edu) even after graduating or retiring. Most people will be able to access their email on their campus alumni portal. Any alumni since 2009 have automatically been granted continued access to email. Any alumni prior to 2009 can have their account re-created (fresh and new, with no prior messages) upon request to the Email team through a ticket assigned to them.    Questions that the email team will need to ask before resurrecting their account:"
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=12275,Request Access to Missionary's Student Account,Missionary Password Username access family Privacy release duo,"The sole purpose of MPR is for assisting a missionary with financial aid, admissions, course registration, resolving student holds, etc. but, the missionary cannot perform these tasks on their own due to restraints from serving a full-time mission. This form is intended for family members that are requesting access to their missionary's student account while they are away on a two-year mission.    Required criteria:    The approval process:    Once these steps are completed, the family member(s) listed on the MPR may request additional support in the future, if they somehow get locked out of the account. The MPR will remain on the student's record, so we can assist the family in the future at any time an issue arises. If the missionary would like the MPR removed from their record, the missionary should immediately contact the University to have it removed."
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=13420,What Accesses Do I Have as an Alumni/Retiree from BYU-Idaho?,alumni access Office changes retiree alumni-benefits alumni-and-retiree-account-access access-account gsuite discounts status-update,"Here is a list of the most common questions on what you can and cannot do/get as an alumni or retiree from BYU-Idaho.    Office 365, Google Suite, and Zoom    Retirees will have access to their email forever.  However, retirees will only have access to other Office 365, G-Suite, and Zoom products until midnight of the last payroll after they retire. After that point, they will be only be able to use Office if they've downloaded Microsoft Office (not 365) off the Hub.    Alumni are the same but the date is tied to their last grade posting.    Campus Computers    If you are an employee that will retire and your BYUI-Provided computer is set to be replaced that year, you can buy out the computer. If it is not set to be replaced that year, you must return it to the university.    Duo    Duo authentication will stop being required as soon as your employee/student's status changes into retiree/alumni.    University Store and University Downloads    After you are set to retirees and alumni, respectively, by HR, you will:    BYU-I login    As a retiree or alumni, you also do not have access to myBYUI. However, there are other direct links you can access directly.    Here are helpful links to access information outside of myBYUI:    WiFi    Retirees can still access BYUI Wi-Fi. They can use the main Wi-Fi and authenticate, however they only get the same accesses as the visitor network.    General differences between BYUI and BYUI Visitor:    Canvas (I-Learn)    Alumni will have access to Canvas for as long as their account is active. So if they can log into the byui website, they can access their I-Learn. The direct link to I-Learn will be taken off their my.byui.edu dashboard as soon as they become an alumni, but they can still access it by going directly to the canvas website (https://byui.instructure.com/)."
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=12555&SIDs=301,Duo Setup for New Pathway Worldwide Users,Pathway duo pathway-duo 2fa-duo byu-pathway byu-pathway-worldwide set-up-duo set-up-duo-pathway,"This document will guide you through setting up Duo for your Pathway account at BYU-Idaho.     1. Go to secure.byui.edu and click on the BYU-Pathway Worldwide Login.         2. Sign in with your church account, which should be the account you used to apply for school and register for classes.       2a. Put in your church username.         2b. Put in your password.         3. Duo will now guide you through your Duo configuration.     4. Press next.         5. Press next.         6. On the selection screen, choose Duo Mobile.        7. Enter your phone number:         8. Verify your phone number.         9. A verification passcode will be sent to your phone.          10. Enter the verification code and press verify.          11. Download and install Duo Mobile. Once you install  Duo Mobile, please open it and set your phone aside. Now on your computer’s browser, click next.         12. A QR code like the one below will be on your browser’s screen. In the Duo Mobile App, click add, then use the QR code. Scan the QR code. Alternatively, use the get activation link to add the code manually.          13. The QR code will change to a green checkmark verifying you’ve successfully added your account.          14. Press continue.         15. Click skip.         16. Click Log in with Duo         17. Log in using the option that best suits your needs.     For most users, Duo Push will be the most secure and convenient option and is recommended by BYU-Idaho.      If your network connection is unreliable, we recommend Duo Mobile passcode as it does not require network or cell towers.      For devices that cannot download the Duo Mobile app the text, phone, and bypass codes options are provided. Bypass codes may be needed if phone systems are intermittent in your area. If you need help, please contact the IT Service desk through the login help webpage at https://www.byui.edu/information-technology/.     For more information on using the different Login options, see the Duo Universal Prompt Login Options section in the Duo setup guide.         18. Your Duo setup is complete if you see the successful login screen."
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=12435,Pathway Login,Pathway pathway-connect pathway-worldwide Pathway-login how-to-login pathway-connect-login pathway-worldwide-login,"PathwayConnect Students    When signing in from the Pathway Login Page use the sign in option on the left (see image below).        When signing in using the Instructure link follow the PathwayConnect options (see image below). After clicking PathwayConnect you will be redirected to your church account. You can now login using your church credentials.          Pathway Worldwide Students    When signing in from the Pathway Login Page use the sign in option on the right (see image below).​​​​​​        When signing in using the Instructure link follow the BYU Idaho option (see image below)        You will be redirected to the BYUI login page where you will login using the Pathway Worldwide login on the right, which will redirect you to your church login."
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=12448,Logging Out of BYUI Webpages,log out logout where button the,"My.byui.edu    To log out of the new my.byui.edu page, follow the steps below    1. Click your profile picture in the top right    2. In the dropdown menu, click ""lougout""    You will then be taken to a page that says ""Logout Successful"""
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=13523,The Walk-Up IT Help Desk,Help-Desk on-campus personal-computer IT-help wifi-issues IT-help-desk software-troubleshooting help-with-a-personal-computer Hardware-questions in-person walk-up Computer-Help-Desk laptop-issues computer-help computer-support laptop-help,"What is the Help Desk?    The Help Desk provides in person, walk-up tech support to students and employees. It is staffed by technicians that are trained in basic hardware and software troubleshooting. It is a place students can go if they need assistance with their personal devices and employees can go if they need assistance with their BYU-Idaho owned devices. (NOTE: Preferred location to assist employees is in their office.) An appointment is not needed for the Help Desk and assistance is available on a first-come, first-serve basis.     In order to receive help, students and employees need to bring their I-card with them to the Help Desk.    Where?        Hours"
